ID;USERID;ADDRESSTEXT;COUNTRY;CITY;TOWN
2563;1067;ÇEPNİ-Ş.BİNBAŞI MEHMET ARAS MAH.YILDIRIM SOKAK NO:381 110199 GEMEREK/SİVAS;TÜRKİYE;SİVAS;GEMEREK
2564;1067;ORUÇREİS MAH.AKASYA SOKAK NO:453 105902 GÜLŞEHİR/NEVŞEHİR;TÜRKİYE;NEVŞEHİR;GÜLŞEHİR
2565;1068;HANEDAN MAH.YEŞİLYUVA SOKAK NO:838 78067 SEYHAN/ADANA;TÜRKİYE;ADANA;SEYHAN
2566;1068;ÇAĞIRKANLI MAH.66. SOKAK NO:628 78231 YÜREĞİR/ADANA;TÜRKİYE;ADANA;YÜREĞİR
2567;1068;OKURCALAR-MERKEZ MAH.ATATÜRK BULVARI SOKAK NO:298 82213 ALANYA/ANTALYA;TÜRKİYE;ANTALYA;ALANYA
2568;1069;YALI MAH.146. SOKAK NO:13 107985 KARASU/SAKARYA;TÜRKİYE;SAKARYA;KARASU
2569;1069;ÇAVUŞ-VALİ KEMAL KATITAŞ MAH.A.TENEKECİPAŞA CADDESİ SOKAK NO:703 101242 HÜYÜK/KONYA;TÜRKİYE;KONYA;HÜYÜK
2570;1069;TEPECİK-TEPECİK-ORTA MAH.AKÇA SOKAK NO:644 102344 TAVŞANLI/KÜTAHYA;TÜRKİYE;KÜTAHYA;TAVŞANLI
2571;1070;KÜÇÜKBÖLCEK MAH.2610 / Ş. Polis Salim Avcıoğlu SOKAK NO:572 115365 AKSARAY MERKEZ/AKSARAY;TÜRKİYE;AKSARAY;AKSARAY MERKEZ
2572;1070;MİMAR SİNAN MAH.ÇATALKAYA CADDESİ SOKAK NO:286 98853 TOSYA/KASTAMONU;TÜRKİYE;KASTAMONU;TOSYA
2573;1070;MİMAR SİNAN MAH.GÖZOVA SOKAK NO:217 96426 SULTANBEYLİ/İSTANBUL;TÜRKİYE;İSTANBUL;SULTANBEYLİ
2574;1070;CUMA MAH.ADNAN MENDERES CADDESİ SOKAK NO:158 86540 KELES/BURSA;TÜRKİYE;BURSA;KELES
2575;1071;TUZKÖYÜ-HÜRRİYET MAH.RÜZGARLI SOKAK NO:507 105932 GÜLŞEHİR/NEVŞEHİR;TÜRKİYE;NEVŞEHİR;GÜLŞEHİR
2576;1071;KÖRFEZ MAH.KARADUT SOKAK NO:568 119544 İZMİT/KOCAELİ;TÜRKİYE;KOCAELİ;İZMİT
2577;1071;MEHMET AKİF ERSOY MAH.111. SOKAK NO:125 118905 SARIÇAM/ADANA;TÜRKİYE;ADANA;SARIÇAM
2578;1071;ÇAKIRHÜYÜK-KÖPRÜBAŞI MAH.100.YIL KÜME EVLERİ SOKAK NO:448 123442 BESNİ/ADIYAMAN;TÜRKİYE;ADIYAMAN;BESNİ
2579;1072;YAZIHÜYÜK-BOZKIR MAH.BÜYÜK MENDERES SOKAK NO:205 105896 DERİNKUYU/NEVŞEHİR;TÜRKİYE;NEVŞEHİR;DERİNKUYU
2580;1073;TİMURHAN MAH.PALAMUT SOKAK NO:149 81331 AKYURT/ANKARA;TÜRKİYE;ANKARA;AKYURT
2581;1074;KAMİLOBA MAH.GÖKAY SOKAK NO:159 96343 BÜYÜKÇEKMECE/İSTANBUL;TÜRKİYE;İSTANBUL;BÜYÜKÇEKMECE
2582;1074;GÜLTEPE MAH.53-2.SANAYİİ CADDESİ SOKAK NO:427 109902 SİVAS MERKEZ/SİVAS;TÜRKİYE;SİVAS;SİVAS MERKEZ
2583;1075;PERAKENDE MAH.MEHMET AKSU 5 SOKAK NO:712 111116 TOKAT MERKEZ/TOKAT;TÜRKİYE;TOKAT;TOKAT MERKEZ
2584;1075;AKSEKİ KÖYÜ MAH.MERKEZ MEVKİ SOKAK NO:587 98864 TOSYA/KASTAMONU;TÜRKİYE;KASTAMONU;TOSYA
2585;1076;FIRUZKOY MAH.AKKUS SOKAK NO:523 95635 AVCILAR/İSTANBUL;TÜRKİYE;İSTANBUL;AVCILAR
